gene_id	C1	C2	T1	T2	T3
4860	22.68	12.62	33.03	29.87	35.78
4861	1.03	1.01	8.24	7.57	8.91
4862	9.72	8.11	12.76	11.24	12.47
4863	2.93	14.81	6.42	5.43	4.73
4864	14.38	32.29	18.34	19.33	18.27
4867	1.26	2.35	1.56	0.47	2.85
4868	0	0	0	0	0.08
4869	301.83	468.01	841.57	704.75	828.90
487	0.32	0.45	1.63	2.88	2.64
4879	0	0	1.01	1.24	0
488	51.94	128.78	60.78	48.95	56.73
4880	1.41	0	0.46	0	0
4881	4.43	3.42	5.61	5.45	3.42
4882	5.51	9.76	5.34	5.50	5.05
4883	10.69	2.56	1.17	1.81	1.71
4884	1.20	0.19	21.77	24.12	24.10
4885	0.63	0.10	5.07	6.66	4.36
4886	6.05	3.34	8.42	8.84	10.16
4889	0.72	0.70	0	0.13	0.27
489	26.16	14.00	34.68	38.16	33.31
4891	13.39	19.75	18.36	16.43	18.19
4892	0.06	0.15	0	0	0
4893	13.60	8.59	27.97	26.65	26.08
4897	1.63	1.46	7.52	6.31	7.85
4898	52.77	68.58	64.10	51.61	60.26
4899	6.51	2.05	5.31	5.16	7.47
49	0.26	0	0.24	0	0.32
490	9.83	13.32	10.19	9.56	9.03
4900	2.88	0	5.80	9.16	5.33
4901	0.67	0	0.84	0.74	0.96
4902	0.94	0	3.61	4.45	4.26
4904	132.23	67.70	333.53	299.82	338.91
4905	17.77	24.79	20.50	16.39	23.30
4907	4.55	4.56	40.51	39.66	37.48
4908	2.41	0.47	1.16	0.93	1.12
4909	5.77	0.57	0.69	0.43	0
491	0.31	0.20	0.11	0.04	0.24
4913	7.81	3.59	23.74	29.86	22.87
4914	0	0	0.38	0.46	0.66
4915	22.97	20.45	0.18	0.09	0.22
4916	0.80	2.22	0.28	0	0.93
4917	0.18	0	0.34	0.41	0.87
4919	1.87	4.11	2.79	2.12	2.95
492	0	0	0.20	0	0
4920	1.43	1.81	2.16	3.43	1.96
4921	11.81	11.60	8.56	8.62	9.32
4922	1.13	0.89	86.83	72.09	99.53
4923	0	0	1.18	2.32	2.03
492307	0	0.45	3.58	7.56	5.50
492311	2.75	0.37	2.84	2.37	2.79
4924	71.61	43.87	111.21	128.02	106.86
4925	14.85	25.55	79.04	57.23	74.17
4926	55.59	44.77	55.80	50.06	51.47
4927	13.92	11.84	19.85	15.87	15.99
4928	14.72	20.23	23.88	18.78	22.33
4929	55.00	40.50	7.78	9.20	5.86
493	34.74	29.56	24.54	21.67	23.67
4931	9.07	13.57	14.52	12.80	13.81
4935	3.08	3.20	0.98	0.72	1.26
493753	7.35	3.25	14.98	13.98	14.18
4938	3.26	1.84	6.09	5.93	4.99
493829	0	0	0	0	0.20
493856	3.20	1.79	5.58	4.61	6.50
493860	0	0.60	0.25	0.20	0.43
493861	0.71	0.37	0.45	1.12	0.29
493869	4.08	1.33	9.26	10.44	10.46
4939	3.26	1.17	2.75	1.88	2.48
493911	0	1.08	2.15	1.21	1.92
4940	4.27	1.15	8.26	7.73	9.09
494115	5.19	2.95	5.62	4.04	6.12
494143	1.05	0.41	3.03	4.66	5.52
4942	55.26	63.75	32.19	35.59	32.20
4943	8.49	2.94	7.48	8.42	5.86
494470	0.39	0.50	0.94	1.06	0.96
494513	0.81	0.89	1.22	1.20	1.01
494514	0.42	0.34	2.04	3.51	4.18
4946	339.92	120.80	510.33	520.51	459.33
4947	42.95	4.20	47.16	48.65	46.87
4948	3.40	5.94	2.19	5.21	2.21
4952	10.22	7.68	11.39	11.91	11.64
4953	62.39	31.76	125.97	114.17	136.11
4957	8.08	11.37	21.74	19.97	23.03
4958	1.23	0.64	0.39	0	0.50
4967	45.64	41.24	42.55	43.72	48.32
4968	6.47	2.93	13.04	13.42	13.17
4969	1.37	2.27	1.27	0.82	0.60
497190	0.36	0	0	0.90	0.22
4973	0	0.11	2.19	1.64	1.69
4974	0	1.96	0	0.21	0.22
4976	12.83	18.51	17.11	12.70	17.02
497661	13.58	5.61	11.71	11.62	17.38
4978	0	0	0.15	0.18	0
498	264.28	177.90	303.65	287.94	296.43
4982	0.59	1.15	23.96	23.70	23.09
4983	4.16	2.95	9.35	7.28	7.80
49854	6.26	4.74	5.29	5.09	4.96
49855	5.46	10.21	5.23	2.97	4.85
49856	6.79	3.69	18.86	21.97	24.56
4986	0	0	0.13	0.24	0.08
49860	13.91	17.67	0	0	0
49861	0.59	0.46	0	0.35	0
4987	0	0	2.01	3.42	2.85
4988	0	0	0.11	0.03	0
4990	0	0	3.15	3.04	2.90
4993	0	0	0.33	0	0
4995	0	0.52	1.27	0	2.45
4998	2.39	2.85	12.99	12.91	13.71
4999	6.06	4.01	12.48	9.78	11.10
50	44.53	41.99	56.46	66.48	61.29
5000	14.57	4.97	23.48	20.82	25.98
5001	8.35	7.47	14.75	16.47	18.36
5002	12.66	4.18	22.72	31.78	18.68
5003	1.46	0.71	1.22	1.41	0.22
5004	0.43	0	51.08	64.49	60.33
5005	0	0	30.20	38.76	34.93
5007	17.71	14.49	17.91	17.16	18.92
5008	0	0.15	0.18	0	0.23
501	15.82	38.11	14.30	12.12	13.03
5010	1.97	2.19	0.82	0.80	0.62
5013	6.15	1.40	2.18	2.54	2.08
5015	0	0	2.67	3.28	1.74
5016	1.70	0.60	1.18	0.18	0.95
5017	103.76	22.67	4.66	4.79	2.10
5018	65.50	34.84	99.81	104.37	95.31
5019	18.75	34.52	22.33	21.65	19.82
5021	0.09	0	2.77	1.29	1.90
5023	1.92	0.84	2.97	1.96	1.92
5025	2.74	2.08	14.66	15.22	14.31
5026	0.15	0.60	11.30	10.75	11.89
5027	4.50	3.62	4.19	4.16	4.03
5028	4.78	0.81	0.86	0.47	0.62
5029	4.91	0.15	1.13	1.20	1.60
5030	0	0.17	0	0	0.53
5031	0.29	0	0.82	1.89	0.54
5032	0	0.37	0	0	0
5033	8.24	12.02	53.68	61.72	53.41
5034	230.35	203.87	468.39	464.32	447.28
503542	0	0	0.54	0.34	0.97
503582	0.14	0	0	0	0
5036	81.96	81.78	107.20	114.53	110.59
5037	187.20	108.37	170.86	187.46	185.09
503834	0	0	0	0	0.71
503835	0.11	0	0.89	1.20	0.64
5045	66.89	16.98	24.87	26.68	23.17
5046	5.51	3.24	5.55	6.25	5.70
5047	0	0.38	0.82	2.05	1.60
5048	32.95	28.75	24.56	21.78	25.51
50484	5.50	3.12	7.98	6.66	6.01
50485	7.38	7.53	5.85	9.53	7.14
50486	117.23	13.70	13.82	16.15	19.58
50487	7.53	2.38	0.73	0.45	1.26
50488	46.14	25.41	25.16	28.16	25.94
50489	9.47	6.07	0.18	0	0
5049	14.59	13.46	19.47	16.34	18.52
5050	14.24	5.97	42.91	62.40	45.48
50506	1.40	1.21	0.05	0.06	0.07
50507	0.49	0.36	1.32	1.65	1.76
50509	15.89	6.78	2.16	2.45	1.70
5051	4.53	1.27	6.14	4.39	5.45
50511	0	0.25	0	0	0
