"","logFC","logCPM","PValue","FDR"
"8370",6.72935917608109,4.94973330579581,1.30465810619193e-19,5.20242303617564e-17
"613037",5.70640190728264,5.46096177121817,2.255786786234e-19,8.73055832942743e-17
"9884",4.68217043066879,6.71076624329011,2.47453861832347e-19,9.30355819386246e-17
"8344",10.4168795253877,4.67219962131245,2.83405442438728e-19,1.03592561584756e-16
"7644",4.52106502858068,7.18740255542798,3.93166922158775e-19,1.39829284559117e-16
"5175",-4.75443795576312,6.63266254000498,4.78118597327316e-19,1.65567437427109e-16
"440353",4.31799243322895,8.22687282869567,5.00768167632001e-19,1.68964315842808e-16
"8346",10.288872689674,4.54513169072607,1.88080156515994e-18,6.1873669489849e-16
"126961",10.2785390420341,4.53488100905328,2.14495908835656e-18,6.72036110563904e-16
"333932",10.2785390420341,4.53488100905328,2.14495908835656e-18,6.72036110563904e-16
"5903",4.08984795383341,10.2894888189108,2.31111511093256e-18,7.07254970808407e-16
"338382",-6.0729753751371,5.18459428251187,3.68462504960275e-18,1.10195411426642e-15
"8348",10.2257304993444,4.48251443228876,4.18210919488397e-18,1.22294166434396e-15
"8332",10.2040536830101,4.4610280241267,6.29765402784924e-18,1.7632091351589e-15
"8343",10.2040536830101,4.4610280241267,6.29765402784924e-18,1.7632091351589e-15
"100128553",6.05317116110064,4.83597567677377,8.67803804303391e-18,2.3790479710059e-15
"101410538",-10.3581998819079,4.67083064258405,1.05679184983105e-17,2.8380252963116e-15
"3006",4.40965626992069,6.54543806664894,1.16176642816913e-17,3.05753688565551e-15
"8358",10.1483924016487,4.4058808369303,1.26509035401189e-17,3.26418117028283e-15
"8342",10.1369977270009,4.39459602198061,1.45793949334297e-17,3.68942803709619e-15
"8341",10.1255123381332,4.38322300204644,1.68154984508269e-17,4.17500271914022e-15
"25832",3.93309198358868,10.1558344676829,2.59878845497899e-17,6.33286245908676e-15
"3013",10.0904971486759,4.34856073560747,3.00051532995527e-17,7.17886931397843e-15
